strategy,added_budget,simple_regret_mean,ci95_low,ci95_high,n_runs
ocba,1933312,3.9558962337563086,1.404842274541313,6.5069501929713045,16
ocba,1966080,4.327704406920451,1.5828138315319973,7.072594982308904,16
ocba,1998848,4.074122644152269,1.539487334629983,6.608757953674555,16
ocba,2031616,3.673640253158027,1.1540515838627294,6.193228922453324,16
ocba,2064384,3.3250174852281478,0.9496427266575703,5.700392243798725,16
ocba,2097152,2.485010491136888,0.05013018467940533,4.91989079759437,16
ocba,2129920,2.891006294682131,0.5266871681591895,5.255325421205072,16
ocba,2162688,3.1721037768092777,0.8550321775349153,5.48917537608364,16
ocba,2195456,2.2115955994188994,-0.09196553276928099,4.51515673160708,16
adapted_ocba,720896,21.8625,16.884657068568757,26.840342931431245,16
adapted_ocba,753664,19.592499999999998,14.930092732231339,24.254907267768658,16
adapted_ocba,786432,17.659666666666663,13.155980096830472,22.163353236502857,16
adapted_ocba,819200,16.689133333333327,12.508057939943226,20.870208726723433,16
adapted_ocba,851968,15.90181333333333,11.810941199771843,19.992685466894816,16
adapted_ocba,884736,14.581087999999996,10.587940445461529,18.57423555453847,16
adapted_ocba,917504,14.41698613333333,10.159801690846383,18.674170575820284,16
adapted_ocba,950272,13.476025013333329,9.069682441888494,17.882367584778166,16
adapted_ocba,983040,13.32144834133333,8.49899706337386,18.143899619292803,16
adapted_ocba,1015808,11.63870233813333,6.222691385677672,17.05471329058899,16
adapted_ocba,1048576,10.48905473621333,5.251578427614844,15.726531044811814,16
adapted_ocba,1081344,9.423432841727998,4.7541129739483186,14.092752709507675,16
adapted_ocba,1114112,8.171559705036795,3.1537257570891435,13.18939365298445,16
adapted_ocba,1146880,7.12876915635541,2.617527489921206,11.640010822789613,16
adapted_ocba,1179648,5.5772614938132445,1.632311640919884,9.522211346706605,16
adapted_ocba,1212416,4.703023562954612,0.8128880987758715,8.593159027133352,16
adapted_ocba,1245184,4.348480804439433,0.40106917588903285,8.295892432989831,16
adapted_ocba,1277952,4.0749218159969915,0.2944796321022505,7.855363999891733,16
adapted_ocba,1310720,3.1666197562648604,0.15209304340950913,6.181146469120211,16
adapted_ocba,1343488,3.359971853758915,0.5855033338676369,6.134440373650193,16
adapted_ocba,1376256,2.0801497789220136,-0.18181865111884676,4.342118208962874,16
adapted_ocba,1409024,2.241423200686541,0.09813977631882971,4.3847066250542515,16
adapted_ocba,1441792,1.3465205870785903,-0.5785901441105402,3.2716313182677204,16
adapted_ocba,1474560,1.6287456855804852,-0.5170520696641479,3.774543440825118,16
adapted_ocba,1507328,1.6755807446816235,-0.46967216090465946,3.820833650267906,16
adapted_ocba,1540096,1.6603484468089729,-0.7975209080640067,4.118217801681952,16
adapted_ocba,1572864,1.5420424014187155,-0.8038985582531502,3.887983361090581,16
adapted_ocba,1605632,1.6868921075178946,-0.36550452497388936,3.7392887400096786,16
adapted_ocba,1638400,1.5121352645107362,-0.39100225275180667,3.4152727817732798,16
adapted_ocba,1671168,1.8089478253731068,0.007645675455886902,3.610249975290327,16
adapted_ocba,1703936,1.900368695223863,-0.30181601267104574,4.102553403118772,16
adapted_ocba,1736704,1.8743878838009833,-0.25941491737497735,4.0081906849769435,16
adapted_ocba,1769472,2.1654660636139225,-0.18705078695015143,4.5179829141779955,16
adapted_ocba,1802240,1.8301129715016855,-0.12234356043231447,3.7825695034356857,16
adapted_ocba,1835008,1.6689011162343441,-0.44461579160466064,3.7824180240733494,16
adapted_ocba,1867776,1.7263406697406054,-0.39746780446397767,3.8501491439451887,16
adapted_ocba,1900544,1.3241377351776955,-0.6740645631509182,3.3223400335063094,16
adapted_ocba,1933312,0.9028159744399491,-1.0859414514916679,2.891573400371566,16
adapted_ocba,1966080,0.8341895846639681,-1.1832648961945067,2.851644065522443,16
adapted_ocba,1998848,1.2996804174650471,-0.648862212882813,3.2482230478129077,16
adapted_ocba,2031616,1.0014749171456936,-0.8651866280103803,2.8681364623017678,16
adapted_ocba,2064384,1.650051616954082,-0.4638904899006848,3.7639937238088486,16
adapted_ocba,2097152,1.8800309701724482,-0.3957409629379627,4.15580290328286,16
adapted_ocba,2129920,1.8921852487701343,-0.553301263072733,4.337671760613001,16
adapted_ocba,2162688,2.5953111492620797,0.43397543865028043,4.756646859873879,16
adapted_ocba,2195456,1.8996866895572464,0.0030378796987645673,3.7963354994157283,16
