strategy,delta,added_budget,success_prob_mean,ci95_low,ci95_high,n_runs
adapted_ocba,8.158431221748456,1081344,0.52876583424,0.28124461337736356,0.7765323632473877,16
adapted_ocba,8.158431221748456,1114112,0.592259500544,0.349918911466297,0.8347472745085538,16
adapted_ocba,8.158431221748456,1146880,0.5803557003264,0.33453122937337415,0.8262684822115364,16
adapted_ocba,8.158431221748456,1179648,0.67321342019584,0.4467086116906987,0.8957610893269219,16
adapted_ocba,8.158431221748456,1212416,0.753928052117504,0.5510784220101499,0.9374566535961532,16
adapted_ocba,8.158431221748456,1245184,0.8023568312705025,0.6137003082018206,0.9624739921576919,16
adapted_ocba,8.158431221748456,1277952,0.8064140987623014,0.6142100589877666,0.9774843952946152,16
adapted_ocba,8.158431221748456,1310720,0.8588484592573808,0.6945260353926599,0.9864906371767691,16
adapted_ocba,8.158431221748456,1343488,0.8653090755544286,0.6997688762313266,0.9918943823060614,16
adapted_ocba,8.158431221748456,1376256,0.9191854453326571,0.8198613257387959,0.9951366293836369,16
adapted_ocba,8.158431221748456,1409024,0.9265112671995942,0.8179167954432776,0.9970819776301821,16
adapted_ocba,8.158431221748456,1441792,0.9559067603197565,0.8907500772659666,0.9982491865781092,16
adapted_ocba,8.158431221748456,1474560,0.923544056191854,0.8175033013553106,0.9989495119468655,16
adapted_ocba,8.158431221748456,1507328,0.9291264337151124,0.8165019808131864,0.9993697071681193,16
adapted_ocba,8.158431221748456,1540096,0.9074758602290673,0.7729544434836424,0.9996218243008717,16
adapted_ocba,8.158431221748456,1572864,0.8944855161374403,0.7468259210859161,0.999773094580523,16
adapted_ocba,8.158431221748456,1605632,0.8866913096824642,0.7311488076472803,0.9998638567483138,16
adapted_ocba,8.158431221748456,1638400,0.9070147858094785,0.7646892845883682,0.9999183140489882,16
adapted_ocba,8.158431221748456,1671168,0.9442088714856871,0.8588135707530209,0.9999509884293929,16
adapted_ocba,8.158431221748456,1703936,0.9165253228914123,0.7983413974475432,0.9999705930576357,16
adapted_ocba,8.158431221748456,1736704,0.9249151937348473,0.8050048384685259,0.9999823558345814,16
adapted_ocba,8.158431221748456,1769472,0.9049491162409085,0.7660561580768461,0.9999894135007489,16
adapted_ocba,8.158431221748456,1802240,0.9429694697445451,0.8596336948461076,0.9999936481004493,16
adapted_ocba,8.158431221748456,1835008,0.8907816818467271,0.7617700909743388,0.9999961888602696,16
adapted_ocba,8.158431221748456,1867776,0.9094690091080363,0.7830620545846032,0.9999977133161618,16
adapted_ocba,8.158431221748456,1900544,0.9206814054648218,0.7958372327507619,0.9999986279896971,16
adapted_ocba,8.158431221748456,1933312,0.9524088432788931,0.8775023396504571,0.9999991767938182,16
adapted_ocba,8.158431221748456,1966080,0.9464453059673358,0.8525014037902743,0.999999506076291,16
adapted_ocba,8.158431221748456,1998848,0.9428671835804014,0.8375008422741645,0.9999997036457746,16
adapted_ocba,8.158431221748456,2031616,0.9657203101482409,0.9025005053644988,0.9999998221874647,16
adapted_ocba,8.158431221748456,2064384,0.9044321860889446,0.7874901772853735,0.9999998933124788,16
adapted_ocba,8.158431221748456,2097152,0.8676593116533668,0.7184839804378983,0.9999999359874873,16
adapted_ocba,8.158431221748456,2129920,0.8955955869920201,0.757090388262739,0.9999999615924924,16
adapted_ocba,8.158431221748456,2162688,0.9123573521952121,0.7802542329576434,0.9999999769554955,16
adapted_ocba,8.158431221748456,2195456,0.9474144113171272,0.8681525397745861,0.9999999861732973,16
